;;;;;;;;
;Treno;Annuncio;Lingua;MAS;Stato;Data ora inizio;Data ora fine;Durata
;0;ATTENZIONE    AVVISIAMO CHE LE VETTURE IN TESTA AL TRENO  REGIONALE  10 4 2 9  DI  TRENITALIA  PER  ALESSANDRIA,  DELLE ORE  00,25  SONO  FUORI SERVIZIO.  SI INVITANO I VIAGGIATORI A PORTARSI VERSO LE  VETTURE  DI CENTRO  E  CODA TRENO.  OGGI  IL  TRENO  VIAGGIA  CON  VETTURE  DI  SOLA  SECONDA CLASSE.  CI SCUSIAMO PER IL DISAGIO;Italiano;-;A;2013-07-01 00:00:11.000;2013-07-01 00:00:34.000;00:23
;0;ATTENZIONE    AVVISIAMO CHE LE VETTURE IN TESTA AL TRENO  REGIONALE  10 4 2 9  DI  TRENITALIA  PER  ALESSANDRIA,  DELLE ORE  00,25  SONO  FUORI SERVIZIO.  SI INVITANO I VIAGGIATORI A PORTARSI VERSO LE  VETTURE  DI CENTRO  E  CODA TRENO.  OGGI  IL  TRENO  VIAGGIA  CON  VETTURE  DI  SOLA  SECONDA CLASSE.  CI SCUSIAMO PER IL DISAGIO;Italiano;-;A;2013-07-01 00:05:11.000;2013-07-01 00:05:34.000;00:23
;2032;Il treno REGIONALE VELOCE, 20 32, di TRENITALIA, delle ore 00.10, proveniente da MILANO CENTRALE, è in arrivo al binario 18. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 00:07:24.000;2013-07-01 00:07:39.000;00:15
;2032;Il treno REGIONALE VELOCE, 20 32, di TRENITALIA, delle ore 00.10, proveniente da MILANO CENTRALE, è in arrivo al binario 18. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 00:08:28.000;2013-07-01 00:08:43.000;00:15
;0;ATTENZIONE    AVVISIAMO CHE LE VETTURE IN TESTA AL TRENO  REGIONALE  10 4 2 9  DI  TRENITALIA  PER  ALESSANDRIA,  DELLE ORE  00,25  SONO  FUORI SERVIZIO.  SI INVITANO I VIAGGIATORI A PORTARSI VERSO LE  VETTURE  DI CENTRO  E  CODA TRENO.  OGGI  IL  TRENO  VIAGGIA  CON  VETTURE  DI  SOLA  SECONDA CLASSE.  CI SCUSIAMO PER IL DISAGIO;Italiano;-;A;2013-07-01 00:10:07.000;2013-07-01 00:10:30.000;00:23
;4093;Il treno REGIONALE, 40 93, di TRENITALIA, delle ore 00.20, per CHIVASSO, è in partenza dal binario 6.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 00:15:05.000;2013-07-01 00:15:17.000;00:12
;0;ATTENZIONE    AVVISIAMO CHE LE VETTURE IN TESTA AL TRENO  REGIONALE  10 4 2 9  DI  TRENITALIA  PER  ALESSANDRIA,  DELLE ORE  00,25  SONO  FUORI SERVIZIO.  SI INVITANO I VIAGGIATORI A PORTARSI VERSO LE  VETTURE  DI CENTRO  E  CODA TRENO.  OGGI  IL  TRENO  VIAGGIA  CON  VETTURE  DI  SOLA  SECONDA CLASSE.  CI SCUSIAMO PER IL DISAGIO;Italiano;-;A;2013-07-01 00:15:18.000;2013-07-01 00:15:41.000;00:23
;10429;Il treno REGIONALE, 10 4 2 9, di TRENITALIA, delle ore 00.25, per ALESSANDRIA, è in partenza dal binario 10.  Ferma a TORINO LINGOTTO, MONCALIERI, TROFARELLO, PESSIONE, VILLANOVA, VILLAFRANCA CANTARANA, ASTI..     .;Italiano;P1;A;2013-07-01 00:20:06.000;2013-07-01 00:20:25.000;00:19
;0;ATTENZIONE    AVVISIAMO CHE LE VETTURE IN TESTA AL TRENO  REGIONALE  10 4 2 9  DI  TRENITALIA  PER  ALESSANDRIA,  DELLE ORE  00,25  SONO  FUORI SERVIZIO.  SI INVITANO I VIAGGIATORI A PORTARSI VERSO LE  VETTURE  DI CENTRO  E  CODA TRENO.  OGGI  IL  TRENO  VIAGGIA  CON  VETTURE  DI  SOLA  SECONDA CLASSE.  CI SCUSIAMO PER IL DISAGIO;Italiano;-;A;2013-07-01 00:20:26.000;2013-07-01 00:20:49.000;00:23
;2176;Il treno REGIONALE VELOCE, 21 76, di TRENITALIA, delle ore 00.40, proveniente da GENOVA BRIGNOLE, è in arrivo al binario 6. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 00:33:23.000;2013-07-01 00:33:38.000;00:15
;2176;Il treno REGIONALE VELOCE, 21 76, di TRENITALIA, delle ore 00.40, proveniente da GENOVA BRIGNOLE, è in arrivo al binario 6. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 00:36:05.000;2013-07-01 00:36:21.000;00:16
;24840;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 0, di TRENITALIA, delle ore 04.45, per SUSA, è in partenza dal binario 13.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 04:40:06.000;2013-07-01 04:40:22.000;00:16
;2001;Il treno REGIONALE VELOCE, 20 01, di TRENITALIA, delle ore 04.53, per MILANO CENTRALE, è in partenza dal binario 20.  Ferma a TORINO PORTA SUSA, CHIVASSO, santiha`, VERCELLI, NOVARA, MAGENTA, RO..     .;Italiano;P1;A;2013-07-01 04:48:06.000;2013-07-01 04:48:24.000;00:18
;4101;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 7, 41 01, di TRENITALIA, delle ore 05.00, per FOSSANO, è in partenza dal binario 4.   Ferma in tutte le stazioni.    .;Italiano;P1;A;2013-07-01 04:55:06.000;2013-07-01 04:55:21.000;00:15
;10000;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 10 0 0 0, di TRENITALIA, delle ore 05.16, per BARDONECCHIA, è in partenza dal binario 12.  Ferma a GRUGLIASCO, COLLEGNO, ALPIGNANO, ROSTA, AVIGLIANA, BUSSOLENO, MEANA, CHIOMONTE, SALBERTRAND, OULX CESANA CLAVIERE SESTRIERE, BEAULARD..     .;Italiano;P1;A;2013-07-01 05:11:06.000;2013-07-01 05:11:30.000;00:24
;24841;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 1, di TRENITALIA, delle ore 05.15, proveniente da BUSSOLENO, è in arrivo al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:12:29.000;2013-07-01 05:12:47.000;00:18
;24841;Il treno SERVIZIO FERROVIARIO METROPOLITANO - LINEA 3, 24 8 4 1, di TRENITALIA, delle ore 05.15, proveniente da BUSSOLENO, è in arrivo al binario 19. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:14:27.000;2013-07-01 05:14:44.000;00:17
;2043;Il treno REGIONALE VELOCE, 20 43, di TRENITALIA, delle ore 05.20, per LA SPEZIA CENTRALE, è in partenza dal binario 7.  Ferma a TORINO LINGOTTO, TROFARELLO, VILLANOVA, VILLAFRANCA CANTARANA, ASTI, ALESSANDRIA, FRUGAROLO BOSCOMARENGO, NOVI LIGURE, SERRAVALLE SCRIVIA, ARQUATA SCRIVIA, RONCO SCRIVIA, MIGNANEGO, GENOVA SAMPIERDARENA, GENOVA PIAZZA PRINCIPE, GENOVA BRIGNOLE, GENOVA NERVI, RECCO, CAMOGLI SAN FRUTTUOSO, SANTA MARGHERITA LIGURE PORTOFINO, RAPALLO, CHIAVARI, LAVAGNA, SESTRI LEVANTE, MONEGLIA, DEIVA MARINA, FRAMURA, BONASSOLA, LEVANTO, MONTEROSSO, VERNAZZA, CORNIGLIA, MANAROLA, RIOMAGGIORE..     .;Italiano;P1;A;2013-07-01 05:15:05.000;2013-07-01 05:15:52.000;00:47
;10201;Il treno REGIONALE VELOCE, 10 2 0 1, di TRENITALIA, delle ore 05.25, per CUNEO, è in partenza dal binario 5.  Ferma a TORINO LINGOTTO, CARMAGNOLA, CAVALLERMAGGIORE, SAVIGLIANO, FOSSANO, CENTALLO..     .;Italiano;P1;A;2013-07-01 05:20:07.000;2013-07-01 05:20:24.000;00:17
;24811;Il treno REGIONALE, 24 8 1 1, di TRENITALIA, delle ore 05.28, per IVREA, è in partenza dal binario 13.  Ferma a TORINO PORTA SUSA, CHIVASSO, STRAMBINO..     .;Italiano;P1;A;2013-07-01 05:23:06.000;2013-07-01 05:23:20.000;00:14
;10426;Il treno REGIONALE, 10 4 2 6, di TRENITALIA, delle ore 05.30, proveniente da ALESSANDRIA, è in arrivo al binario 12. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:25:55.000;2013-07-01 05:26:10.000;00:15
;10426;Il treno REGIONALE, 10 4 2 6, di TRENITALIA, delle ore 05.30, proveniente da ALESSANDRIA, è in arrivo al binario 12. Attenzione! Allontanarsi dalla linea gialla. .;Italiano;A1;A;2013-07-01 05:28:31.000;2013-07-01 05:28:46.000;00:15
;9707;Il treno FRECCIABIANCA, 97 07, di TRENITALIA, delle ore 05.35, per TRIESTE CENTRALE, è in partenza dal binario 11.  Ferma a TORINO PORTA SUSA, VERCELLI, NOVARA, MILANO CENTRALE, BRESCIA, PESCHIERA DEL GARDA, VERONA PORTA NUOVA, VICENZA, PADOVA, VENEZIA MESTRE, SAN DONA` DI PIAVE, PORTOGRUARO, LATISANA, CERVIGNANO, MONFALCONE..      .;Italiano;P1;A;2013-07-01 05:30:06.000;2013-07-01 05:30:34.000;00:28
